value,date
92,2021-10-11 15:25:44
88,2021-10-11 15:25:49
91,2021-10-11 15:25:54
96,2021-10-11 15:25:59
94,2021-10-11 15:26:04
95,2021-10-11 15:26:09
92,2021-10-11 15:26:19
87,2021-10-11 15:26:29
90,2021-10-11 15:26:34
89,2021-10-11 15:26:39
90,2021-10-11 15:26:44
93,2021-10-11 15:26:49
90,2021-10-11 15:26:54
85,2021-10-11 15:26:59
84,2021-10-11 15:27:09
83,2021-10-11 15:27:14
80,2021-10-11 15:27:19
83,2021-10-11 15:27:24
80,2021-10-11 15:27:29
76,2021-10-11 15:27:39
73,2021-10-11 15:27:44
71,2021-10-11 15:27:49
72,2021-10-11 15:27:54
75,2021-10-11 15:27:59
79,2021-10-11 15:28:04
83,2021-10-11 15:28:09
84,2021-10-11 15:28:19
83,2021-10-11 15:28:24
84,2021-10-11 15:28:29
81,2021-10-11 15:28:34
84,2021-10-11 15:28:39
85,2021-10-11 15:28:44
83,2021-10-11 15:28:49
84,2021-10-11 15:28:59
83,2021-10-11 15:29:04
82,2021-10-11 15:29:14
81,2021-10-11 15:29:19
82,2021-10-11 15:29:34
84,2021-10-11 15:29:49
85,2021-10-11 15:29:54
86,2021-10-11 15:29:59
84,2021-10-11 15:30:04
83,2021-10-11 15:30:09
84,2021-10-11 15:30:14
82,2021-10-11 15:30:24
82,2021-10-11 15:30:29
82,2021-10-11 15:30:34
81,2021-10-11 15:30:44
82,2021-10-11 15:30:54
83,2021-10-11 15:30:59
82,2021-10-11 15:31:04
81,2021-10-11 15:31:09
81,2021-10-11 15:31:15
80,2021-10-11 15:31:20
81,2021-10-11 15:31:30
82,2021-10-11 15:31:35
83,2021-10-11 15:31:45
84,2021-10-11 15:32:00
83,2021-10-11 15:32:15
83,2021-10-11 15:32:25
84,2021-10-11 15:32:30
85,2021-10-11 15:32:45
87,2021-10-11 15:32:50
86,2021-10-11 15:32:55
84,2021-10-11 15:33:00
83,2021-10-11 15:33:05
84,2021-10-11 15:33:10
83,2021-10-11 15:33:15
81,2021-10-11 15:33:20
80,2021-10-11 15:33:25
81,2021-10-11 15:33:40
80,2021-10-11 15:33:45
80,2021-10-11 15:34:00
81,2021-10-11 15:34:15
79,2021-10-11 15:34:20
78,2021-10-11 15:34:25
78,2021-10-11 15:34:35
81,2021-10-11 15:34:45
82,2021-10-11 15:34:50
84,2021-10-11 15:34:55
84,2021-10-11 15:35:10
85,2021-10-11 15:35:20
84,2021-10-11 15:35:25
85,2021-10-11 15:35:40
84,2021-10-11 15:35:55
83,2021-10-11 15:36:00
84,2021-10-11 15:36:05
86,2021-10-11 15:36:15
87,2021-10-11 15:36:20
89,2021-10-11 15:36:25
90,2021-10-11 15:36:30
92,2021-10-11 15:36:35
93,2021-10-11 15:36:40
94,2021-10-11 15:36:50
89,2021-10-11 15:37:05
90,2021-10-11 15:37:10
90,2021-10-11 15:37:25
86,2021-10-11 15:37:30
88,2021-10-11 15:37:40
89,2021-10-11 15:37:45
85,2021-10-11 15:37:50
85,2021-10-11 15:37:55
86,2021-10-11 15:38:05
87,2021-10-11 15:38:10
85,2021-10-11 15:38:25
83,2021-10-11 15:38:30
83,2021-10-11 15:38:35
84,2021-10-11 15:38:40
85,2021-10-11 15:38:45
86,2021-10-11 15:38:50
87,2021-10-11 15:38:55
85,2021-10-11 15:39:00
85,2021-10-11 15:39:05
86,2021-10-11 15:39:15
87,2021-10-11 15:39:20
86,2021-10-11 15:39:30
85,2021-10-11 15:39:35
84,2021-10-11 15:39:45
83,2021-10-11 15:39:50
84,2021-10-11 15:40:05
85,2021-10-11 15:40:20
84,2021-10-11 15:40:25
82,2021-10-11 15:40:35
82,2021-10-11 15:40:50
84,2021-10-11 15:40:55
86,2021-10-11 15:41:00
87,2021-10-11 15:41:05
87,2021-10-11 15:41:10
