time,value,date
13:58:36,77,2021-10-08 13:58:36
13:58:41,85,2021-10-08 13:58:41
13:58:46,87,2021-10-08 13:58:46
13:58:51,92,2021-10-08 13:58:51
13:59:01,88,2021-10-08 13:59:01
13:59:06,86,2021-10-08 13:59:06
13:59:11,83,2021-10-08 13:59:11
13:59:26,84,2021-10-08 13:59:26
13:59:36,82,2021-10-08 13:59:36
13:59:46,83,2021-10-08 13:59:46
13:59:51,82,2021-10-08 13:59:51
13:59:56,83,2021-10-08 13:59:56
14:00:01,85,2021-10-08 14:00:01
14:00:06,83,2021-10-08 14:00:06
14:00:11,84,2021-10-08 14:00:11
14:00:16,82,2021-10-08 14:00:16
14:00:21,83,2021-10-08 14:00:21
14:00:31,85,2021-10-08 14:00:31
14:00:36,87,2021-10-08 14:00:36
14:00:41,88,2021-10-08 14:00:41
14:00:46,90,2021-10-08 14:00:46
14:00:51,88,2021-10-08 14:00:51
14:00:56,90,2021-10-08 14:00:56
14:01:01,89,2021-10-08 14:01:01
14:01:06,92,2021-10-08 14:01:06
14:01:11,90,2021-10-08 14:01:11
14:01:16,92,2021-10-08 14:01:16
14:01:21,93,2021-10-08 14:01:21
14:01:26,94,2021-10-08 14:01:26
14:01:31,96,2021-10-08 14:01:31
14:01:41,97,2021-10-08 14:01:41
14:01:46,96,2021-10-08 14:01:46
14:01:56,95,2021-10-08 14:01:56
14:02:01,96,2021-10-08 14:02:01
14:02:06,97,2021-10-08 14:02:06
14:02:11,98,2021-10-08 14:02:11
14:02:16,99,2021-10-08 14:02:16
14:02:21,101,2021-10-08 14:02:21
14:02:26,99,2021-10-08 14:02:26
14:02:31,97,2021-10-08 14:02:31
14:02:36,95,2021-10-08 14:02:36
14:02:41,89,2021-10-08 14:02:41
14:02:46,87,2021-10-08 14:02:46
14:02:51,86,2021-10-08 14:02:51
14:02:56,85,2021-10-08 14:02:56
14:03:01,89,2021-10-08 14:03:01
14:03:06,90,2021-10-08 14:03:06
14:03:21,92,2021-10-08 14:03:21
14:03:26,93,2021-10-08 14:03:26
14:03:41,94,2021-10-08 14:03:41
14:03:46,95,2021-10-08 14:03:46
14:03:51,94,2021-10-08 14:03:51
14:03:56,95,2021-10-08 14:03:56
14:04:01,94,2021-10-08 14:04:01
14:04:06,93,2021-10-08 14:04:06
14:04:11,94,2021-10-08 14:04:11
14:04:21,95,2021-10-08 14:04:21
14:04:26,94,2021-10-08 14:04:26
14:04:31,93,2021-10-08 14:04:31
14:04:36,90,2021-10-08 14:04:36
14:04:41,87,2021-10-08 14:04:41
14:04:46,90,2021-10-08 14:04:46
14:04:51,96,2021-10-08 14:04:51
14:04:56,94,2021-10-08 14:04:56
14:05:06,95,2021-10-08 14:05:06
14:05:11,94,2021-10-08 14:05:11
14:05:16,95,2021-10-08 14:05:16
14:05:26,97,2021-10-08 14:05:26
14:05:31,97,2021-10-08 14:05:31
14:05:36,96,2021-10-08 14:05:36
14:05:41,99,2021-10-08 14:05:41
14:05:46,98,2021-10-08 14:05:46
14:05:51,97,2021-10-08 14:05:51
14:06:01,98,2021-10-08 14:06:01
14:06:16,96,2021-10-08 14:06:16
14:06:21,94,2021-10-08 14:06:21
14:06:36,95,2021-10-08 14:06:36
14:06:41,93,2021-10-08 14:06:41
14:06:46,91,2021-10-08 14:06:46
14:06:51,87,2021-10-08 14:06:51
14:06:56,85,2021-10-08 14:06:56
14:07:06,86,2021-10-08 14:07:06
14:07:16,85,2021-10-08 14:07:16
14:07:21,86,2021-10-08 14:07:21
14:07:26,87,2021-10-08 14:07:26
14:07:31,89,2021-10-08 14:07:31
14:07:36,92,2021-10-08 14:07:36
14:07:46,93,2021-10-08 14:07:46
14:07:51,91,2021-10-08 14:07:51
14:07:56,92,2021-10-08 14:07:56
14:08:01,93,2021-10-08 14:08:01
14:08:16,91,2021-10-08 14:08:16
14:08:21,89,2021-10-08 14:08:21
14:08:26,88,2021-10-08 14:08:26
14:08:31,89,2021-10-08 14:08:31
14:08:36,88,2021-10-08 14:08:36
14:08:41,87,2021-10-08 14:08:41
14:08:56,86,2021-10-08 14:08:56
14:09:01,88,2021-10-08 14:09:01
14:09:06,87,2021-10-08 14:09:06
14:09:11,88,2021-10-08 14:09:11
14:09:16,90,2021-10-08 14:09:16
14:09:31,89,2021-10-08 14:09:31
14:09:36,90,2021-10-08 14:09:36
14:09:41,91,2021-10-08 14:09:41
14:09:51,90,2021-10-08 14:09:51
14:09:56,91,2021-10-08 14:09:56
14:10:01,92,2021-10-08 14:10:01
14:10:06,93,2021-10-08 14:10:06
14:10:16,92,2021-10-08 14:10:16
14:10:21,91,2021-10-08 14:10:21
14:10:31,92,2021-10-08 14:10:31
14:10:36,93,2021-10-08 14:10:36
14:10:51,95,2021-10-08 14:10:51
14:10:56,94,2021-10-08 14:10:56
14:11:06,93,2021-10-08 14:11:06
14:11:11,93,2021-10-08 14:11:11
14:11:21,94,2021-10-08 14:11:21
14:11:31,95,2021-10-08 14:11:31
14:11:36,97,2021-10-08 14:11:36
14:11:41,96,2021-10-08 14:11:41
14:11:46,95,2021-10-08 14:11:46
14:11:51,95,2021-10-08 14:11:51
14:12:01,96,2021-10-08 14:12:01
14:12:16,95,2021-10-08 14:12:16
14:12:21,94,2021-10-08 14:12:21
14:12:31,93,2021-10-08 14:12:31
14:12:36,94,2021-10-08 14:12:36
14:12:41,95,2021-10-08 14:12:41
14:12:46,96,2021-10-08 14:12:46
14:13:01,95,2021-10-08 14:13:01
14:13:06,93,2021-10-08 14:13:06
14:13:11,91,2021-10-08 14:13:11
14:13:26,91,2021-10-08 14:13:26
14:13:31,92,2021-10-08 14:13:31
14:13:36,93,2021-10-08 14:13:36
14:13:46,92,2021-10-08 14:13:46
14:13:56,93,2021-10-08 14:13:56
14:14:01,90,2021-10-08 14:14:01
14:14:06,89,2021-10-08 14:14:06
14:14:11,88,2021-10-08 14:14:11
14:14:21,89,2021-10-08 14:14:21
14:14:26,91,2021-10-08 14:14:26
14:14:31,90,2021-10-08 14:14:31
14:14:36,91,2021-10-08 14:14:36
14:14:41,89,2021-10-08 14:14:41
14:14:46,88,2021-10-08 14:14:46
14:14:56,87,2021-10-08 14:14:56
14:15:06,85,2021-10-08 14:15:06
14:15:11,87,2021-10-08 14:15:11
14:15:16,86,2021-10-08 14:15:16
14:15:21,87,2021-10-08 14:15:21
14:15:26,91,2021-10-08 14:15:26
14:15:31,93,2021-10-08 14:15:31
14:15:41,94,2021-10-08 14:15:41
14:15:56,93,2021-10-08 14:15:56
14:16:01,90,2021-10-08 14:16:01
14:16:06,88,2021-10-08 14:16:06
14:16:21,85,2021-10-08 14:16:21
14:16:26,85,2021-10-08 14:16:26
14:16:31,84,2021-10-08 14:16:31
14:16:36,85,2021-10-08 14:16:36
14:16:41,84,2021-10-08 14:16:41
14:16:46,84,2021-10-08 14:16:46
14:16:51,83,2021-10-08 14:16:51
14:16:56,83,2021-10-08 14:16:56
14:17:01,82,2021-10-08 14:17:01
14:17:11,81,2021-10-08 14:17:11
14:17:26,82,2021-10-08 14:17:26
14:17:31,80,2021-10-08 14:17:31
14:17:41,82,2021-10-08 14:17:41
14:17:46,84,2021-10-08 14:17:46
14:17:51,84,2021-10-08 14:17:51
14:17:56,84,2021-10-08 14:17:56
14:18:01,85,2021-10-08 14:18:01
14:18:06,84,2021-10-08 14:18:06
14:18:11,86,2021-10-08 14:18:11
14:18:16,85,2021-10-08 14:18:16
14:18:21,86,2021-10-08 14:18:21
14:18:26,85,2021-10-08 14:18:26
14:18:31,87,2021-10-08 14:18:31
14:18:36,86,2021-10-08 14:18:36
14:18:41,87,2021-10-08 14:18:41
14:18:46,88,2021-10-08 14:18:46
14:18:51,89,2021-10-08 14:18:51
14:18:56,90,2021-10-08 14:18:56
14:19:01,88,2021-10-08 14:19:01
14:19:11,87,2021-10-08 14:19:11
14:19:16,86,2021-10-08 14:19:16
14:19:21,87,2021-10-08 14:19:21
14:19:26,88,2021-10-08 14:19:26
14:19:31,87,2021-10-08 14:19:31
14:19:36,89,2021-10-08 14:19:36
